Model,Dataset_Evaluation,Dataset_Model,Seed,MAPE
UTAE_multihead_cross_attn,dataset_20_per,dataset_20_per,0,0.4078
UTAE_concat,dataset_20_per,dataset_20_per,0,0.4238
UTAE_gated,dataset_20_per,dataset_20_per,0,0.3584
UTAE_multihead_cross_attn,dataset_20_per,dataset_50_per,0,0.4032
UTAE_concat,dataset_20_per,dataset_50_per,0,0.3553
UTAE_gated,dataset_20_per,dataset_50_per,0,0.5571
UTAE_multihead_cross_attn,dataset_20_per,dataset,0,0.7919
UTAE_concat,dataset_20_per,dataset,0,0.7448
UTAE_gated,dataset_20_per,dataset,0,0.4816
UTAE_multihead_cross_attn,dataset_50_per,dataset_20_per,0,0.3471
UTAE_concat,dataset_50_per,dataset_20_per,0,0.499
UTAE_gated,dataset_50_per,dataset_20_per,0,0.3236
UTAE_multihead_cross_attn,dataset_50_per,dataset_50_per,0,0.4127
UTAE_concat,dataset_50_per,dataset_50_per,0,0.3726
UTAE_gated,dataset_50_per,dataset_50_per,0,0.3501
UTAE_multihead_cross_attn,dataset_50_per,dataset,0,0.4313
UTAE_concat,dataset_50_per,dataset,0,0.5495
UTAE_gated,dataset_50_per,dataset,0,0.3808
UTAE_multihead_cross_attn,dataset,dataset_20_per,0,0.3747
UTAE_concat,dataset,dataset_20_per,0,0.5088
UTAE_gated,dataset,dataset_20_per,0,0.3179
UTAE_multihead_cross_attn,dataset,dataset_50_per,0,0.3681
UTAE_concat,dataset,dataset_50_per,0,0.3986
UTAE_gated,dataset,dataset_50_per,0,0.3361
UTAE_multihead_cross_attn,dataset,dataset,0,0.3751
UTAE_concat,dataset,dataset,0,0.464
UTAE_gated,dataset,dataset,0,0.3684
